Fund_Code,Fund_Name,Rainbow_Fund_Type,monthly_return,monthly_3_return,monthly_6_return,since_jan,annual_1_return,annual_3_return,annual_5_return,applied_management_fee,bylaw_management_fee,annual_realized_return_rate,max_total_expense_ratio,init_fund_size,current_fund_size,portfolio_size_change,init_out_shares,current_out_shares,change_in_nshares,realized_return_rate
HVZ,ALLBATROSS PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"12,274","47,918","824,895","790,101","1,263,942",-,-,"1,095",0,"51,31",,"71.757.108,81","73.853.237,59","2,92","300.631.703,57","296.904.084,57","-1,24","4,21"
IZB,İSTANBUL PORTFÖY BİRİNCİ FON SEPETİ SERBEST FON,Serbest Şemsiye Fonu,"83,276","246,919","1,369,625","925,454","1,253,904",-,-,2,2,"31,02","3,65","87.361.194,62","74.981.416,63","-14,17","3.140.124,00","2.602.561,00","-17,12","3,56"
GMR,INVEO PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"11,533","92,800","1,221,541","713,944","1,202,991","7,774,655","2.343,8238",2,2,"85,09","2,19","155.151.329,36","152.570.992,98","-1,66","488.979.286,00","464.496.977,00","-5,01","3,52"
TI3,İŞ PORTFÖY İŞ BANKASI İŞTİRAKLERİ ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"-10,326","147,543","1,291,342","884,025","1,198,856","6,429,937","1.307,2704","1,75","1,75","87,62","3,65","897.344.887,85","912.498.872,32","1,69","1.550.897.690,00","1.580.076.566,00","1,88","-0,19"
AK3,AK PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"32,377","71,525","1,000,196","847,400","1,184,772","6,511,924","1.001,1412","2,9","2,9","52,8","4,38","65.915.519,27","65.374.774,11","-0,82","1.378.685,00","1.313.686,00","-4,71","4,09"
HKH,HEDEF PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"23,977","44,021","930,498","855,238","1,181,788",-,-,3,0,0,,"1.158.544.631,99","1.119.364.609,29","-3,38","14.922.240.747,00","15.450.858.047,00","3,54","-6,69"
IRF,İSTANBUL PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"43,447","158,419","786,612","1,055,705","1,177,838",-,-,"2,25","2,9","79,61","3,65","3.303.011,78","2.834.343,75","-14,19","3.335.460,00","2.803.029,00","-15,96","2,11"
SUB,ÜNLÜ PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"-0,4627","80,244","459,424","969,678","1,174,023","4,056,337","4,389,658","2,04","2,04","70,17","2,19","1.674.939.854,42","2.033.764.859,55","21,42","4.165.359.462,00","4.505.788.812,00","8,17","12,25"
GLG,GLOBAL MD PORTFÖY CAPİTAL HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"46,928","102,161","900,410","721,064","1,173,434",-,-,"2,9","2,9","52,49","3,65","5.970.538.972,74","5.534.548.553,96","-7,30","15.149.683.987,00","14.019.045.067,00","-7,46","0,17"
EID,QİNVEST PORTFÖY HİSSE SENEDİ FONU (HİSSE YOĞUN FON),Hisse Senedi Şemsiye Fonu,"131,172","176,461","1,034,189","811,950","1,159,153","7,297,291","2.029,4348","2,9","2,9","111,73","3,65","797.706.236,36","840.136.064,29","5,32","4.785.477.889,00","4.576.631.699,00","-4,36","10,13"
GTM,GARANTİ PORTFÖY TEMETTÜ ÖDEYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"27,853","90,500","936,184","781,921","1,141,670",-,-,"2,25","2,9","72,68","3,65","4.183.543.311,88","5.249.878.360,11","25,49","14.920.840.994,00","16.198.898.185,00","8,57","15,59"
IHK,İŞ PORTFÖY İŞ'TE KADIN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"40,044","104,575","1,051,377","835,749","1,140,019",-,-,"1,5","1,5","54,08","3,65","541.698.943,07","589.247.000,19","8,78","2.396.184.634,00","2.375.154.046,00","-0,88","9,74"
TI2,İŞ PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"40,463","116,827","1,021,463","785,780","1,129,319","7,432,815","1.133,7267","2,9","2,9","49,68","3,65","197.709.683,93","241.819.099,55","22,31","45.222.922,00","53.749.717,00","18,86","2,91"
AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,"145,332","120,012","691,549","1,224,160","1,117,329","3,102,289","1.021,6093","1,5","1,5","70,57",0,"142.753.282,68","150.446.082,94","5,39","9.006.176,00","9.058.748,00","0,58","4,78"
YAY,YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,"156,293","147,552","718,943","1,247,795","1,098,172","3,293,639","9,141,262","1,4","1,4","38,65","3,65","84.257.193,49","88.847.159,72","5,45","2.392.825,00","2.406.926,00","0,59","4,83"
AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"21,672","109,388","1,093,827","785,438","1,081,646","7,614,712","1.483,1774","2,1","2,1","28,01","3,65","192.133.319,94","201.278.527,98","4,76","55.552.554,00","56.462.316,00","1,64","3,07"
OJT,QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"152,092","199,717","782,419","1,107,826","1,068,619",-,-,2,2,"-17,59","3,65","90.387.717,05","97.003.703,94","7,32","2.534.492.459,00","2.645.738.852,00","4,39","2,81"
USY,ÜNLÜ PORTFÖY MUTLAK GETİRİ HEDEFLİ SERBEST FON,Serbest Şemsiye Fonu,"79,415","68,117","661,806","1,044,074","1,066,996","4,005,776",-,"3,4","3,4","118,48","3,65","30.514.179,97","30.198.613,24","-1,03","105.337.757,00","106.736.386,00","1,33","-2,33"
IDH,İŞ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"11,257","170,035","1,485,576","854,625","1,059,905",-,-,2,"2,9","69,31","3,65","2.238.808.738,29","3.146.418.319,21","40,54","115.251.633,00","154.955.623,00","34,45","4,53"
HVU,ALLBATROSS PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"20,039","150,526","594,494","857,656","1,055,304",-,-,2,2,"63,83","2,19","1.976.194.403,37","1.996.149.118,11","1,01","8.043.693.688,00","7.677.504.149,00","-4,55","5,83"
YHS,YAPI KREDİ PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"48,295","66,481","915,927","719,486","1,044,562","5,964,404","9,753,828",2,2,"61,88","2,19","646.421.575,60","668.374.224,56","3,40","1.469.761.088,00","1.444.892.155,00","-1,69","5,18"
TYH,TEB PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"36,494","73,574","987,940","724,773","1,039,112","7,513,830","1.221,7188",3,3,"59,72","3,65","556.181.420,96","565.287.708,53","1,64","4.131.176.453,00","4.055.267.833,00","-1,84","3,54"
GAF,INVEO PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"35,784","86,036","1,011,392","715,589","1,029,956","5,946,367","1.091,0973","0,75","0,75","69,61",,"59.364.150,66","67.606.912,69","13,89","1.523.134,60","1.806.236,60","18,59","-3,96"
NNF,HEDEF PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"0,6023","102,176","1,171,264","728,913","1,028,130","9,232,910",-,3,0,0,,"273.722.301,75","309.350.646,84","13,02","25.715.304,00","27.986.224,00","8,83","3,85"
DHJ,DENİZ PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"112,880","223,435","1,169,288","669,707","1,027,332",-,-,"2,9","2,9","-0,86","3,65","25.433.600,57","21.801.976,37","-14,28","24.801.670,00","21.591.270,00","-12,94","-1,53"
IRT,INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"155,984","192,208","899,822","990,764","1,026,981",-,-,"1,7","1,7","52,94","4,38","397.968.856,63","428.235.808,54","7,61","2.292.189.266,00","2.304.898.775,00","0,55","7,01"
GSP,AZİMUT PYŞ KAR PAYI ÖDEYEN HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"36,448","111,554","878,093","670,682","1,014,877","4,700,042","8,751,417","1,4","1,4","0,87","3,65","110.523.285,01","112.228.893,76","1,54","32.474.422,00","31.752.626,00","-2,22","3,85"
UPH,ÜNLÜ PORTFÖY HİSSE SENEDİ (TL) FONU(HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"0,7962","80,544","866,780","670,187","1,005,880","7,231,031","1.438,6686","2,5",0,"67,24","3,65","47.110.473,64","40.183.930,23","-14,70","636.458.401,00","552.989.857,00","-13,11","-1,83"
TLH,AURA PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"18,221","118,136","1,100,636","599,186","1,004,475","6,459,198","1.161,9282","1,25","1,95","55,52","4,38","26.138.148,19","31.424.212,18","20,22","221.448.667,00","253.176.334,00","14,33","5,16"
GKF,GLOBAL MD PORTFÖY KATILIM FONU,Katılım Şemsiye Fonu,"55,855","84,447","766,580","956,529","997,830","1,239,438",-,"1,25","1,95","60,85","4,38","2.160.684.952,62","2.163.632.813,78","0,14","391.393.628,00","376.248.012,00","-3,87","4,17"
ICF,ICBC TURKEY PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"14,964","87,544","911,087","673,856","995,864","7,409,362","1.211,2371",1,0,0,,"1.286.662.032,20","1.333.944.522,92","3,67","190.665.735,00","188.734.957,00","-1,01","4,74"
ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"46,332","137,560","761,778","775,437","992,448","5,401,006","9,491,056","2,75",0,0,"3,65","0,00","8.971.698,45","0,00","0,00","311.666,00","0,00","0,00"
IJZ,İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"133,664","251,965","1,009,922","990,726","991,769",-,-,"1,25","1,25","19,35","2,56","65.107.400,05","68.267.110,53","4,85","38.124.029,00","36.224.510,00","-4,98","10,35"
RPD,RE-PIE PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"33,789","126,457","604,478","862,126","989,722",-,-,"2,5","2,5","66,89","3,65","838.606,69","8.030.231,83","857,57","221.845,00","2.118.439,00","854,92","0,28"
IHT,İŞ PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"-16,174","70,745","779,296","672,873","987,861",-,-,"2,5","2,5","32,61","3,65","87.608.474,70","92.061.184,46","5,08","8.384.515,00","8.572.609,00","2,24","2,78"
ZMY,ZİRAAT PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,Değişken Şemsiye Fonu,"163,366","215,224","854,859","993,749","987,676",-,-,"0,49","0,49","32,07","1,65","660.192.768,24","682.166.177,68","3,33","14.983.827.988,00","15.037.894.687,00","0,36","2,96"
IFN,ICBC TURKEY PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"32,246","82,780","888,733","697,380","984,519",-,-,3,3,0,"3,65","55.432.750,14","72.083.871,67","30,04","54.993.576,00","68.552.689,00","24,66","4,32"
HOA,HSBC PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"121,841","114,815","607,986","950,059","982,983","2,400,976","3,665,624",2,2,0,,"160.868.731,69","160.700.935,54","-0,10","54.559.577,00","52.616.077,00","-3,56","3,59"
ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),Hisse Senedi Şemsiye Fonu,"23,504","78,053","958,969","646,620","973,727","6,335,224","1.514,6205",3,3,0,0,"652.777.526,38","789.404.054,03","20,93","340.755.768,00","400.935.195,00","17,66","2,78"
IVF,İSTANBUL PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"31,539","41,888","952,595","680,605","968,251",-,-,"2,5","2,5",0,"3,65","0,00","95.899.411,70","0,00","0,00","95.492.570,00","0,00","0,00"
GOH,GARANTİ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"14,143","179,376","1,138,932","738,836","967,513",-,-,"2,9",0,0,,"536.888.118,56","345.608.950,09","-35,63","268.601.316,00","175.132.593,00","-34,80","-1,27"
KPC,KT PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"37,552","78,874","1,094,982","673,164","967,503","6,053,485",-,"3,3","3,3",0,,"102.199.453,59","113.711.273,84","11,26","99.670.549,00","99.745.296,00","0,07","11,18"
RTP,RE-PIE PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,"52,268","120,242","647,446","819,964","960,829",-,-,2,0,"58,25","3,65","31.145.374,08","46.082.487,47","47,96","30.883.441,00","43.527.242,00","40,94","4,98"
OHB,OYAK PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"23,879","69,480","923,767","637,901","958,978","6,636,109","1.153,9848","2,5","2,5",0,,"164.468.453,14","118.419.268,86","-28,00","40.049.009,00","25.863.310,00","-35,42","11,49"
IVY,İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON,Karma Şemsiye Fonu,"158,955","140,225","552,512","1,127,957","953,307",-,-,"0,6","0,6",0,,"98.204.288,47","113.430.201,79","15,50","69.740.807,00","71.837.980,00","3,01","12,13"
MET,GARANTİ PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,Değişken Şemsiye Fonu,"115,125","143,024","709,113","968,684","951,840",-,-,"1,5","1,5",0,"3,65","0,00","8.912.871,09","0,00","0,00","9.054.079,00","0,00","0,00"
TFF,TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"132,724","108,949","641,591","1,103,751","950,786","3,082,006","6,486,739","2,92",0,"95,03","3,65","2.573.313.071,16","2.211.474.444,02","-14,06","1.845.456.226,00","1.660.500.940,00","-10,02","-4,49"
DAH,DENİZ PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"42,900","73,757","812,350","603,602","950,314","5,939,471","1.000,5302","0,25","0,25",0,,"74.012.279,38","77.964.128,13","5,34","27.976.221,00","27.956.100,00","-0,07","5,42"
FPH,FİBA PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"28,761","86,647","882,376","597,942","949,521","5,924,027","1.553,6059",2,0,"72,46","2,19","0,00","30.096.798,06","0,00","0,00","27.831.259,00","0,00","0,00"
YLE,YAPI KREDİ PORTFÖY BIST SÜRDÜRÜLEBİLİRLİK ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"38,968","63,764","891,286","682,340","947,618",-,-,2,2,"18,75","3,65","231.736.697,00","274.322.138,95","18,38","7.907.586,00","8.969.495,00","13,43","4,36"
ICZ,AK PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"214,325","401,338","1,413,198","692,960","944,709",-,-,"1,25","1,25","76,8","3,65","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
GKV,GARANTİ PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"15,575","62,301","895,549","610,953","940,174",-,-,"2,4",0,"27,73","2,56","214.358.482,94","304.293.525,62","41,96","116.204.908,00","161.357.948,00","38,86","2,23"
IJA,INVEO PORTFÖY ATAK DEĞİŞKEN FON,Değişken Şemsiye Fonu,"21,386","107,519","758,302","724,794","934,884",-,-,2,0,"86,28","3,65","338.384.174,40","355.588.896,98","5,08","193.232.300,00","193.790.500,00","0,29","4,78"
MTX,TEB PORTFÖY METAVERSE VE DİJİTAL TEKNOLOJİLER DEĞİŞKEN FON,Değişken Şemsiye Fonu,"134,734","112,440","662,042","1,001,947","933,589",-,-,2,0,"29,79","3,65","21.109.029.641,48","28.962.420.237,44","37,20","730.200.120,00","974.923.531,00","33,51","2,76"
YAS,YAPI KREDİ PORTFÖY KOÇ HOLDİNG İŞTİRAK VE HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"-12,818","25,007","862,541","657,976","933,030","6,059,860","1.172,6620","1,1","1,5","34,54",,"1.207.347.773,49","1.226.453.860,69","1,58","5.732.065.300,00","5.712.112.400,00","-0,35","1,94"
GHS,GARANTİ PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"40,306","62,282","875,536","644,894","931,585","7,575,450","1.267,4704","2,1",0,0,,"8.066.569,30","8.069.641,58","0,04","177.315.004,87","173.034.075,87","-2,41","2,51"
SVB,STRATEJİ PORTFÖY AGRESİF DEĞİŞKEN FON,Değişken Şemsiye Fonu,"17,638","111,610","857,861","692,847","921,604",-,-,2,2,"45,64","3,65","640.444.409,76","720.810.294,90","12,55","4.019.718.000,00","4.231.428.000,00","5,27","6,92"
YHZ,YAPI KREDİ PORTFÖY BIST TEKNOLOJİ AĞIRLIK SINIRLAMALI ENDEKSİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"168,726","430,474","1,490,884","725,382","919,289",-,-,"2,5","2,5","27,9",,"155.436.027,17","148.646.015,06","-4,37","4.090.650.909,00","3.821.187.609,00","-6,59","2,37"
OPH,OSMANLI PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"0,3872","67,935","929,686","540,524","917,584","8,560,116",-,2,2,"136,6",0,"129.661.853,64","119.715.682,51","-7,67","685.516.800,00","602.832.300,00","-12,06","4,99"
GZR,GARANTİ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"39,129","63,029","829,919","618,819","917,417",-,-,"0,95","0,95","35,06",,"70.720.294,50","68.158.685,29","-3,62","1.614.874.700,00","1.513.838.400,00","-6,26","2,81"
KYA,KARE PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"72,235","197,057","1,039,724","651,321","915,883","7,300,514","1.219,0017","2,75","2,75","102,73","3,65","30.248.852.276,54","28.869.052.476,77","-4,56","21.609.235.409,00","20.031.575.077,00","-7,30","2,96"
FJB,FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON,Serbest Şemsiye Fonu,"138,367","111,851","570,598","1,017,094","911,160",-,-,2,2,"73,24","4,38","3.138.565,39","5.360.858,70","70,81","3.091.964,00","5.343.073,00","72,81","-1,16"
GAK,INVEO  PORTFÖY KARMA FON,Karma Şemsiye Fonu,"44,566","127,252","742,944","768,104","908,053","2,870,422","5,303,178","2,75",0,0,"3,65","79.703.189,33","87.390.310,34","9,64","46.830.993,00","47.332.485,00","1,07","8,48"
ECA,GLOBAL MD PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"26,485","117,011","652,865","714,530","896,939","4,170,636","7,282,307",2,2,"80,54","3,65","14.651.014,61","14.203.138,32","-3,06","11.141.287,00","10.689.431,00","-4,06","1,04"
ITP,İŞ PORTFÖY TEKNOLOJİ KARMA FON,Karma Şemsiye Fonu,"115,499","117,870","588,247","975,567","892,132",-,-,"1,45",0,"29,99","1,65","833.566.880,30","1.080.453.883,35","29,62","3.105.888.307,00","3.073.386.921,00","-1,05","30,99"
TTE,İŞ PORTFÖY BIST TEKNOLOJİ AĞIRLIK SINIRLAMALI ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"197,853","433,149","1,579,666","700,453","889,778","4,856,538","1.673,6078",2,2,"65,31","4,38","551.603.948,25","534.241.567,55","-3,15","170.744.947,00","160.548.047,00","-5,97","3,00"
TLE,AURA PORTFÖY YABANCI BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"84,562","112,193","708,690","813,094","884,561","3,038,491","5,549,280","0,25",0,0,,"207.677.877,46","256.192.011,57","23,36","55.394.438,00","60.629.300,00","9,45","12,71"
AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"35,120","92,395","788,456","677,134","876,164","4,174,627","2,452,503","1,1",0,"27,78","3,65","13.328.199,57","16.654.945,40","24,96","6.102.331,00","6.862.847,00","12,46","11,11"
ZLH,ZİRAAT PORTFÖY BIST 100-30 ŞİRKETLERİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"-14,735","20,466","917,339","525,319","871,963",-,-,"1,9",0,"76,86","2,19","42.483.901,62","40.241.255,78","-5,28","25.617.578,00","23.783.723,00","-7,16","2,02"
HMS,HSBC PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"20,273","58,114","928,358","648,436","866,451",-,-,1,0,"66,59","4,38","44.133.788,95","47.677.002,84","8,03","12.166.463,00","12.555.145,00","3,19","4,68"
ST1,STRATEJİ PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"-0,7616","57,189","1,200,383","486,150","863,416","7,821,435","1.718,5074","2,75","2,75",0,"3,65","13.675.655.677,26","12.257.648.873,99","-10,37","7.495.365.643,00","6.536.917.332,00","-12,79","2,77"
DBP,DENİZ PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"50,524","115,543","781,019","621,611","862,814","3,572,202","5,334,173","2,9","2,9","59,37","3,65","250.209.731,57","267.593.161,43","6,95","161.485.213,00","162.724.121,00","0,77","6,13"
OKD,OYAK PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"32,433","141,652","793,790","627,632","862,205","4,420,666","8,563,786",2,2,"155,13","3,65","6.339.501.612,23","8.073.716.464,62","27,36","211.986.366,00","254.051.031,00","19,84","6,27"
RTG,ATA PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"143,428","113,240","634,238","904,115","861,473",-,-,2,2,"77,53","3,65","61.636.878,26","79.616.232,94","29,17","21.198.839,00","26.743.297,00","26,15","2,39"
GUH,GARANTI PORTFÖY YABANCI TEKNOLOJİ BYF FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"145,082","106,558","585,287","947,403","858,021","2,875,239","5,743,673","1,9",0,"67,14","2,19","163.183.186,37","155.175.867,36","-4,91","19.255.738,00","17.647.265,00","-8,35","3,76"
ZDZ,ZİRAAT PORTFÖY AGRESİF DEĞİŞKEN FON,Değişken Şemsiye Fonu,"12,416","17,961","879,945","539,150","857,707","5,713,700",-,1,0,"75,74",0,"79.503.373,85","75.051.768,91","-5,60","14.344.709,00","12.997.701,00","-9,39","4,18"
ELZ,QİNVEST PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"78,991","95,350","880,380","579,113","855,986",-,-,"1,94","1,94","67,14","3,65","427.830.985,01","506.285.047,40","18,34","205.499.976,00","233.703.838,00","13,72","4,06"
YDI,YAPI KREDİ PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"31,811","49,756","851,250","617,509","855,470","5,914,767","1.307,0292","2,74","2,74","137,29","3,65","120.649.433,61","133.823.587,86","10,92","66.926.134,00","66.933.248,00","0,01","10,91"
PPB,PHİLLİP PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"21,799","64,668","901,298","627,254","852,426",-,-,"1,94","1,94","89,69","3,65","159.015.427,13","331.709.631,92","108,60","63.544.397,00","112.078.038,00","76,38","18,27"
GL1,AZİMUT PYŞ BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"31,354","123,521","888,630","598,574","851,856","6,394,460","1.483,8395",2,2,0,,"62.804.631,87","69.138.868,63","10,09","33.704.004,00","34.771.871,00","3,17","6,70"
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"-0,1085","147,257","1,011,182","669,335","850,888","4,682,463","6,066,418","118,625","118,625","67,02","3,65","197.769.712,09","184.378.528,24","-6,77","379.973.300,00","341.675.400,00","-10,08","3,68"
ZFB,AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"190,851","177,944","727,437","983,784","850,002",-,-,"1,18","1,18","68,57","3,65","625.151.468,32","739.076.726,67","18,22","17.980.059,00","20.212.598,00","12,42","5,17"
ZJL,ZİRAAT PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"39,195","219,952","1,183,369","494,745","849,836",-,-,3,3,"115,92","3,65","18.570.348,96","18.999.549,09","2,31","203.352.032,00","202.646.514,00","-0,35","2,67"
