Fund_Code,Fund_Name,Rainbow_Fund_Type,monthly_return,monthly_3_return,monthly_6_return,since_jan,annual_1_return,annual_3_return,annual_5_return,applied_management_fee,bylaw_management_fee,annual_realized_return_rate,max_total_expense_ratio,init_fund_size,current_fund_size,portfolio_size_change,init_out_shares,current_out_shares,change_in_nshares,realized_return_rate
DBB,DENİZ PORTFÖY BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"27,813","61,381","62,444","162,848","187,543","767,586","1,319,161","2,19","2,19","49,72","4,38","157.841.442,14","163.253.512,57","3,43","51.795.187,00","48.047.290,00","-7,24","11,50"
PPS,PHİLLİP PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,"0,9205","14,314","83,198","153,241","174,342",-,-,"2,19",0,"57,93","4,38","50.475.990,00","54.886.479,82","8,74","35.583.398,00","37.822.336,00","6,29","2,30"
OBI,OYAK PORTFÖY İKİNCİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,"-22,166","-48,014","110,151","167,161","169,901",-,-,1,0,"69,86",,"12.029.566,92","11.218.233,36","-6,74","9.082.033,00","8.173.911,00","-10,00","3,62"
FIT,FİBA PORTFÖY BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,"-15,991","10,487","110,415","140,955","148,926","648,999","1,231,501","2,92","2,92","68,19","3,65","1.141.798.671,84","1.198.708.537,29","4,98","2.026.264,79","2.039.563,79","0,66","4,30"
GZH,GARANTİ PORTFÖY TEMİZ ENERJİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"45,418","-81,471","219,137","194,058","145,549",-,-,"1,95","1,95","88,46","3,65","3.205.045.168,69","3.222.758.044,55","0,55","3.943.774,00","4.017.256,00","1,86","-1,29"
MBL,MEKSA PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"25,317","66,223","97,623","125,911","132,919","434,546","843,670","2,75","2,75","100,45","3,65","498.494.294,51","444.588.795,57","-10,81","2.324.273,00","2.018.394,00","-13,16","2,70"
TBT,TEB PORTFÖY BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"14,297","36,682","102,098","103,890","131,054","442,379","1,030,502","2,25","2,25","84,46","3,65","197.472.040,19","197.261.638,77","-0,11","862.378,91","848.876,91","-1,57","1,48"
TPF,TACİRLER PORTFÖY BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"-28,618","-56,234","72,407","73,036","111,127","793,557","1,893,299",2,0,"57,26","3,65","631.665.098,59","660.418.581,07","4,55","18.976.528,00","18.767.557,00","-1,10","5,72"
YJH,YAPI KREDİ PORTFÖY TEMİZ ENERJİ DEĞİŞKEN FONU,Değişken Şemsiye Fonu,"83,369","-46,810","166,036","170,801","110,004",-,-,"2,23",0,"72,11","3,65","673.052.811,51","693.871.054,85","3,09","1.957.637.769,00","1.914.719.489,00","-2,19","5,40"
HST,HSBC PORTFÖY BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,"13,848","0,7785","48,519","72,322","101,158","764,304","1,438,205","2,5","2,5",0,0,"96.657.200,76","108.353.014,10","12,10","42.582.262,00","43.057.053,00","1,11","10,86"
